Data,Non indicizzate,Indicizzate,Impressioni
2025-06-29,,,114
2025-06-30,,,113
2025-07-01,33,50,99
2025-07-02,31,50,80
2025-07-03,31,50,66
2025-07-04,31,50,59
2025-07-05,31,50,39
2025-07-06,32,50,61
2025-07-07,32,50,105
2025-07-08,32,50,45
2025-07-09,32,50,47
2025-07-10,32,50,71
2025-07-11,32,50,47
2025-07-12,32,50,20
2025-07-13,31,51,22
2025-07-14,31,51,30
2025-07-15,31,51,53
2025-07-16,34,48,11
2025-07-17,34,48,23
2025-07-18,34,48,25
2025-07-19,34,48,31
2025-07-20,36,46,5
2025-07-21,36,46,48
2025-07-22,36,46,37
2025-07-23,39,43,3
2025-07-24,39,43,0
2025-07-25,39,43,1
2025-07-26,39,43,2
2025-07-27,40,42,2
2025-07-28,40,42,0
2025-07-29,40,42,0
2025-07-30,40,42,0
2025-07-31,40,42,0
2025-08-01,40,42,0
2025-08-02,40,42,1
2025-08-03,38,46,1
2025-08-04,38,46,0
2025-08-05,38,46,2
2025-08-06,37,47,1
2025-08-07,37,47,4
2025-08-08,37,47,2
2025-08-09,37,47,0
2025-08-10,37,47,0
2025-08-11,37,47,1
2025-08-12,37,47,0
2025-08-13,38,46,0
2025-08-14,38,46,1
2025-08-15,38,46,0
2025-08-16,38,46,0
2025-08-17,43,41,4
2025-08-18,43,41,0
2025-08-19,43,41,2
2025-08-20,42,42,6
2025-08-21,42,42,4
2025-08-22,42,42,1
2025-08-23,42,42,1
2025-08-24,42,42,4
2025-08-25,42,42,2
2025-08-26,42,42,92
2025-08-27,63,42,228
2025-08-28,63,42,237
2025-08-29,63,42,254
2025-08-30,63,42,231
2025-08-31,75,56,269
2025-09-01,75,56,476
2025-09-02,75,56,646
2025-09-03,58,74,736
2025-09-04,58,74,708
2025-09-05,58,74,648
2025-09-06,58,74,520
2025-09-07,61,74,601
2025-09-08,61,74,734
2025-09-09,61,74,572
2025-09-10,59,79,602
2025-09-11,59,79,708
2025-09-12,59,79,882
2025-09-13,59,79,661
2025-09-14,68,83,700
2025-09-15,68,83,716
2025-09-16,68,83,625
2025-09-17,67,86,557
2025-09-18,67,86,400
2025-09-19,67,86,335
2025-09-20,67,86,265
2025-09-21,75,84,308
2025-09-22,75,84,380
2025-09-23,75,84,394
